adapter_metadata_path,adapter_path,base_model,bitsandbytes_version,commit,cuda_version,decode_tok_s,delta_vs_base_query_mode,delta_vs_same_mode_adapter,eval_loss_base_query_mode_no_adapter,eval_loss_with_adapter,gpu,host,offload_mismatch,peak_gpu_query_gb,query_mode_label,query_offload,query_storage_mode,run_id,skip_or_fail_reason,status,storage_mode_mismatch,timestamp,torch_version,train_eval_after,train_eval_before,train_mode_label,train_offload,train_peak_gpu_gb,train_s_per_step,train_storage_mode
/workspace/matrix/olmoe_mode_adapters/fp4/expertsnbit_adapter_metadata.json,/workspace/matrix/olmoe_mode_adapters/fp4/adapter_best.pt,allenai/OLMoE-1B-7B-0924,0.49.2,,12.8,,-0.4695311818504706,,1.4905155710875988,1.0209843892371282,NVIDIA RTX A5000,5efb3005656c,False,4.958933504,nf4,False,nf4,099c3d6b503d,,pass,True,2026-07-05T12:23:45Z,2.8.0+cu128,1.037,1.5041,fp4,False,5.28,13.8,fp4
/workspace/matrix/olmoe_mode_adapters/int8/expertsnbit_adapter_metadata.json,/workspace/matrix/olmoe_mode_adapters/int8/adapter_best.pt,allenai/OLMoE-1B-7B-0924,0.49.2,,12.8,,-0.46685983857605606,,1.4905155710875988,1.0236557325115427,NVIDIA RTX A5000,5efb3005656c,False,4.958933504,nf4,False,nf4,099c3d6b503d,,pass,True,2026-07-05T12:24:30Z,2.8.0+cu128,1.0288,1.4811,int8,False,8.5,13.7,int8
/workspace/matrix/olmoe_mode_adapters/int8-offload/expertsnbit_adapter_metadata.json,/workspace/matrix/olmoe_mode_adapters/int8-offload/adapter_best.pt,allenai/OLMoE-1B-7B-0924,0.49.2,,12.8,,-0.46791384485550225,,1.4905155710875988,1.0226017262320966,NVIDIA RTX A5000,5efb3005656c,True,4.958933504,nf4,False,nf4,099c3d6b503d,,pass,True,2026-07-05T12:25:15Z,2.8.0+cu128,1.0229,1.4811,int8-offload,True,2.72,18.0,int8
/workspace/matrix/olmoe_mode_adapters/nf4/expertsnbit_adapter_metadata.json,/workspace/matrix/olmoe_mode_adapters/nf4/adapter_best.pt,allenai/OLMoE-1B-7B-0924,0.49.2,,12.8,,-0.46972083134460263,,1.4905155710875988,1.0207947397429962,NVIDIA RTX A5000,5efb3005656c,False,4.958933504,nf4,False,nf4,099c3d6b503d,,pass,False,2026-07-05T12:26:02Z,2.8.0+cu128,1.0282,1.4905,nf4,False,5.28,13.8,nf4
/workspace/matrix/olmoe_mode_adapters/nf4-offload/expertsnbit_adapter_metadata.json,/workspace/matrix/olmoe_mode_adapters/nf4-offload/adapter_best.pt,allenai/OLMoE-1B-7B-0924,0.49.2,,12.8,,-0.4688711761846207,,1.4905155710875988,1.021644394902978,NVIDIA RTX A5000,5efb3005656c,True,4.958933504,nf4,False,nf4,099c3d6b503d,,pass,False,2026-07-05T12:26:48Z,2.8.0+cu128,1.033,1.4905,nf4-offload,True,2.52,16.0,nf4
/workspace/matrix/olmoe_mode_adapters/fp4/expertsnbit_adapter_metadata.json,/workspace/matrix/olmoe_mode_adapters/fp4/adapter_best.pt,allenai/OLMoE-1B-7B-0924,0.49.2,,12.8,,-0.46924579338519834,,1.504079225473106,1.0348334320879076,NVIDIA RTX A5000,5efb3005656c,False,4.958933504,fp4,False,fp4,099c3d6b503d,,pass,False,2026-07-05T12:28:23Z,2.8.0+cu128,1.037,1.5041,fp4,False,5.28,13.8,fp4
/workspace/matrix/olmoe_mode_adapters/int8/expertsnbit_adapter_metadata.json,/workspace/matrix/olmoe_mode_adapters/int8/adapter_best.pt,allenai/OLMoE-1B-7B-0924,0.49.2,,12.8,,-0.4662971476500388,,1.504079225473106,1.037782077823067,NVIDIA RTX A5000,5efb3005656c,False,4.958933504,fp4,False,fp4,099c3d6b503d,,pass,True,2026-07-05T12:29:07Z,2.8.0+cu128,1.0288,1.4811,int8,False,8.5,13.7,int8
/workspace/matrix/olmoe_mode_adapters/int8-offload/expertsnbit_adapter_metadata.json,/workspace/matrix/olmoe_mode_adapters/int8-offload/adapter_best.pt,allenai/OLMoE-1B-7B-0924,0.49.2,,12.8,,-0.46804607834201306,,1.504079225473106,1.0360331471310928,NVIDIA RTX A5000,5efb3005656c,True,4.958933504,fp4,False,fp4,099c3d6b503d,,pass,True,2026-07-05T12:29:52Z,2.8.0+cu128,1.0229,1.4811,int8-offload,True,2.72,18.0,int8
/workspace/matrix/olmoe_mode_adapters/nf4/expertsnbit_adapter_metadata.json,/workspace/matrix/olmoe_mode_adapters/nf4/adapter_best.pt,allenai/OLMoE-1B-7B-0924,0.49.2,,12.8,,-0.468693620787235,,1.504079225473106,1.035385604685871,NVIDIA RTX A5000,5efb3005656c,False,4.958933504,fp4,False,fp4,099c3d6b503d,,pass,True,2026-07-05T12:30:37Z,2.8.0+cu128,1.0282,1.4905,nf4,False,5.28,13.8,nf4
/workspace/matrix/olmoe_mode_adapters/nf4-offload/expertsnbit_adapter_metadata.json,/workspace/matrix/olmoe_mode_adapters/nf4-offload/adapter_best.pt,allenai/OLMoE-1B-7B-0924,0.49.2,,12.8,,-0.4679673980863299,,1.504079225473106,1.036111827386776,NVIDIA RTX A5000,5efb3005656c,True,4.958933504,fp4,False,fp4,099c3d6b503d,,pass,True,2026-07-05T12:31:22Z,2.8.0+cu128,1.033,1.4905,nf4-offload,True,2.52,16.0,nf4
/workspace/matrix/olmoe_mode_adapters/fp4/expertsnbit_adapter_metadata.json,/workspace/matrix/olmoe_mode_adapters/fp4/adapter_best.pt,allenai/OLMoE-1B-7B-0924,0.49.2,,12.8,,-0.45101242503733374,,1.4810781478881836,1.0300657228508499,NVIDIA RTX A5000,5efb3005656c,False,8.180167168,int8,False,int8,099c3d6b503d,,pass,True,2026-07-05T12:32:56Z,2.8.0+cu128,1.037,1.5041,fp4,False,5.28,13.8,fp4
/workspace/matrix/olmoe_mode_adapters/int8/expertsnbit_adapter_metadata.json,/workspace/matrix/olmoe_mode_adapters/int8/adapter_best.pt,allenai/OLMoE-1B-7B-0924,0.49.2,,12.8,,-0.46402126271277666,,1.4810781478881836,1.017056885175407,NVIDIA RTX A5000,5efb3005656c,False,8.180167168,int8,False,int8,099c3d6b503d,,pass,False,2026-07-05T12:33:41Z,2.8.0+cu128,1.0288,1.4811,int8,False,8.5,13.7,int8
/workspace/matrix/olmoe_mode_adapters/int8-offload/expertsnbit_adapter_metadata.json,/workspace/matrix/olmoe_mode_adapters/int8-offload/adapter_best.pt,allenai/OLMoE-1B-7B-0924,0.49.2,,12.8,,-0.4685080153285526,,1.4810781478881836,1.012570132559631,NVIDIA RTX A5000,5efb3005656c,True,8.180167168,int8,False,int8,099c3d6b503d,,pass,False,2026-07-05T12:34:25Z,2.8.0+cu128,1.0229,1.4811,int8-offload,True,2.72,18.0,int8
/workspace/matrix/olmoe_mode_adapters/nf4/expertsnbit_adapter_metadata.json,/workspace/matrix/olmoe_mode_adapters/nf4/adapter_best.pt,allenai/OLMoE-1B-7B-0924,0.49.2,,12.8,,-0.4593730301130563,,1.4810781478881836,1.0217051177751273,NVIDIA RTX A5000,5efb3005656c,False,8.180167168,int8,False,int8,099c3d6b503d,,pass,True,2026-07-05T12:35:09Z,2.8.0+cu128,1.0282,1.4905,nf4,False,5.28,13.8,nf4
/workspace/matrix/olmoe_mode_adapters/nf4-offload/expertsnbit_adapter_metadata.json,/workspace/matrix/olmoe_mode_adapters/nf4-offload/adapter_best.pt,allenai/OLMoE-1B-7B-0924,0.49.2,,12.8,,-0.45683205148088746,,1.4810781478881836,1.0242460964072961,NVIDIA RTX A5000,5efb3005656c,True,8.180167168,int8,False,int8,099c3d6b503d,,pass,True,2026-07-05T12:35:54Z,2.8.0+cu128,1.033,1.4905,nf4-offload,True,2.52,16.0,nf4
/workspace/matrix/olmoe_mode_adapters/fp4/expertsnbit_adapter_metadata.json,/workspace/matrix/olmoe_mode_adapters/fp4/adapter_best.pt,allenai/OLMoE-1B-7B-0924,0.49.2,,12.8,,-0.4503823899431154,,1.4817636022344232,1.0313812122913077,NVIDIA RTX A5000,5efb3005656c,False,14.219948544,bf16,False,bf16,099c3d6b503d,,pass,True,2026-07-05T12:37:17Z,2.8.0+cu128,1.037,1.5041,fp4,False,5.28,13.8,fp4
/workspace/matrix/olmoe_mode_adapters/int8/expertsnbit_adapter_metadata.json,/workspace/matrix/olmoe_mode_adapters/int8/adapter_best.pt,allenai/OLMoE-1B-7B-0924,0.49.2,,12.8,,-0.46386151530896313,,1.4817636022344232,1.01790208692546,NVIDIA RTX A5000,5efb3005656c,False,14.219948544,bf16,False,bf16,099c3d6b503d,,pass,True,2026-07-05T12:37:53Z,2.8.0+cu128,1.0288,1.4811,int8,False,8.5,13.7,int8
/workspace/matrix/olmoe_mode_adapters/int8-offload/expertsnbit_adapter_metadata.json,/workspace/matrix/olmoe_mode_adapters/int8-offload/adapter_best.pt,allenai/OLMoE-1B-7B-0924,0.49.2,,12.8,,-0.4670778809231706,,1.4817636022344232,1.0146857213112526,NVIDIA RTX A5000,5efb3005656c,True,14.219948544,bf16,False,bf16,099c3d6b503d,,pass,True,2026-07-05T12:38:29Z,2.8.0+cu128,1.0229,1.4811,int8-offload,True,2.72,18.0,int8
/workspace/matrix/olmoe_mode_adapters/nf4/expertsnbit_adapter_metadata.json,/workspace/matrix/olmoe_mode_adapters/nf4/adapter_best.pt,allenai/OLMoE-1B-7B-0924,0.49.2,,12.8,,-0.4546280098729767,,1.4817636022344232,1.0271355923614465,NVIDIA RTX A5000,5efb3005656c,False,14.219948544,bf16,False,bf16,099c3d6b503d,,pass,True,2026-07-05T12:39:03Z,2.8.0+cu128,1.0282,1.4905,nf4,False,5.28,13.8,nf4
/workspace/matrix/olmoe_mode_adapters/nf4-offload/expertsnbit_adapter_metadata.json,/workspace/matrix/olmoe_mode_adapters/nf4-offload/adapter_best.pt,allenai/OLMoE-1B-7B-0924,0.49.2,,12.8,,-0.4572299989522435,,1.4817636022344232,1.0245336032821797,NVIDIA RTX A5000,5efb3005656c,True,14.219948544,bf16,False,bf16,099c3d6b503d,,pass,True,2026-07-05T12:39:38Z,2.8.0+cu128,1.033,1.4905,nf4-offload,True,2.52,16.0,nf4
/workspace/matrix/olmoe_mode_adapters/fp4/expertsnbit_adapter_metadata.json,/workspace/matrix/olmoe_mode_adapters/fp4/adapter_best.pt,allenai/OLMoE-1B-7B-0924,0.49.2,,12.8,,-0.44649596241652034,,1.4780308278277516,1.0315348654112313,NVIDIA RTX A5000,5efb3005656c,False,14.219948544,fp16,False,fp16,099c3d6b503d,,pass,True,2026-07-05T12:40:55Z,2.8.0+cu128,1.037,1.5041,fp4,False,5.28,13.8,fp4
/workspace/matrix/olmoe_mode_adapters/int8/expertsnbit_adapter_metadata.json,/workspace/matrix/olmoe_mode_adapters/int8/adapter_best.pt,allenai/OLMoE-1B-7B-0924,0.49.2,,12.8,,-0.4607793866598513,,1.4780308278277516,1.0172514411679003,NVIDIA RTX A5000,5efb3005656c,False,14.219948544,fp16,False,fp16,099c3d6b503d,,pass,True,2026-07-05T12:41:32Z,2.8.0+cu128,1.0288,1.4811,int8,False,8.5,13.7,int8
/workspace/matrix/olmoe_mode_adapters/int8-offload/expertsnbit_adapter_metadata.json,/workspace/matrix/olmoe_mode_adapters/int8-offload/adapter_best.pt,allenai/OLMoE-1B-7B-0924,0.49.2,,12.8,,-0.4627064702799544,,1.4780308278277516,1.0153243575477973,NVIDIA RTX A5000,5efb3005656c,True,14.219948544,fp16,False,fp16,099c3d6b503d,,pass,True,2026-07-05T12:42:09Z,2.8.0+cu128,1.0229,1.4811,int8-offload,True,2.72,18.0,int8
/workspace/matrix/olmoe_mode_adapters/nf4/expertsnbit_adapter_metadata.json,/workspace/matrix/olmoe_mode_adapters/nf4/adapter_best.pt,allenai/OLMoE-1B-7B-0924,0.49.2,,12.8,,-0.4515259108156897,,1.4780308278277516,1.026504917012062,NVIDIA RTX A5000,5efb3005656c,False,14.219948544,fp16,False,fp16,099c3d6b503d,,pass,True,2026-07-05T12:42:46Z,2.8.0+cu128,1.0282,1.4905,nf4,False,5.28,13.8,nf4
/workspace/matrix/olmoe_mode_adapters/nf4-offload/expertsnbit_adapter_metadata.json,/workspace/matrix/olmoe_mode_adapters/nf4-offload/adapter_best.pt,allenai/OLMoE-1B-7B-0924,0.49.2,,12.8,,-0.45349175002775155,,1.4780308278277516,1.0245390778,NVIDIA RTX A5000,5efb3005656c,True,14.219948544,fp16,False,fp16,099c3d6b503d,,pass,True,2026-07-05T12:43:24Z,2.8.0+cu128,1.033,1.4905,nf4-offload,True,2.52,16.0,nf4
